date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-01-07 16:37:48.519330,1,5000,5297,0,5000,77.20%,50.47%,77.20%,77.20%,77.20%,77.18%,77.20%
2022-01-07 16:37:57.785432,2,5000,5297,0,5000,79.60%,43.06%,79.60%,79.60%,79.60%,79.46%,78.40%
2022-01-07 16:38:07.202570,3,5000,5297,0,5000,79.80%,44.00%,79.80%,79.80%,79.80%,79.78%,78.87%
2022-01-07 16:38:17.190836,4,5000,5297,0,5000,75.90%,50.13%,75.90%,75.90%,75.90%,75.31%,78.12%
2022-01-07 16:38:27.301130,5,5000,5297,0,5000,79.40%,46.62%,79.40%,79.40%,79.40%,79.18%,78.38%
2022-01-07 16:38:36.359185,6,5000,5297,0,5000,78.80%,45.06%,78.80%,78.80%,78.80%,78.78%,78.45%
2022-01-07 16:38:45.609285,7,5000,5297,0,5000,79.10%,43.61%,79.10%,79.10%,79.10%,79.10%,78.54%
2022-01-07 16:38:54.752359,8,5000,5297,0,5000,79.10%,45.42%,79.10%,79.10%,79.10%,79.08%,78.61%
2022-01-07 16:39:03.726396,9,5000,5297,0,5000,78.00%,46.38%,78.00%,78.00%,78.00%,77.52%,78.54%
2022-01-07 16:39:12.760446,10,5000,5297,0,5000,80.00%,44.26%,80.00%,80.00%,80.00%,79.96%,78.69%
2022-01-07 16:39:25.466329,1,5000,5304,5000,10000,78.70%,49.46%,78.70%,78.70%,78.70%,78.65%,78.70%
2022-01-07 16:39:35.426589,2,5000,5304,5000,10000,79.90%,46.08%,79.90%,79.90%,79.90%,79.80%,79.30%
2022-01-07 16:39:46.162025,3,5000,5304,5000,10000,78.30%,46.45%,78.30%,78.30%,78.30%,78.14%,78.97%
2022-01-07 16:39:56.096279,4,5000,5304,5000,10000,78.70%,46.88%,78.70%,78.70%,78.70%,78.44%,78.90%
2022-01-07 16:40:07.306824,5,5000,5304,5000,10000,80.20%,49.63%,80.20%,80.20%,80.20%,80.14%,79.16%
2022-01-07 16:40:17.044034,6,5000,5304,5000,10000,78.20%,46.27%,78.20%,78.20%,78.20%,78.18%,79.00%
2022-01-07 16:40:26.615204,7,5000,5304,5000,10000,76.60%,48.32%,76.60%,76.60%,76.60%,76.58%,78.66%
2022-01-07 16:40:37.143593,8,5000,5304,5000,10000,78.70%,45.96%,78.70%,78.70%,78.70%,78.57%,78.66%
2022-01-07 16:40:46.578734,9,5000,5304,5000,10000,78.60%,46.50%,78.60%,78.60%,78.60%,78.39%,78.66%
2022-01-07 16:40:56.084891,10,5000,5304,5000,10000,78.20%,48.65%,78.20%,78.20%,78.20%,78.19%,78.61%
2022-01-07 16:41:15.632327,1,5000,5277,10000,15000,81.10%,40.76%,81.10%,81.10%,81.10%,81.06%,81.10%
2022-01-07 16:41:30.946802,2,5000,5277,10000,15000,83.10%,44.00%,83.10%,83.10%,83.10%,83.07%,82.10%
2022-01-07 16:41:46.223269,3,5000,5277,10000,15000,84.40%,37.18%,84.40%,84.40%,84.40%,84.39%,82.87%
2022-01-07 16:42:03.971296,4,5000,5277,10000,15000,81.60%,43.69%,81.60%,81.60%,81.60%,81.52%,82.55%
2022-01-07 16:42:22.603524,5,5000,5277,10000,15000,81.30%,42.02%,81.30%,81.30%,81.30%,81.27%,82.30%
2022-01-07 16:42:40.180512,6,5000,5277,10000,15000,83.20%,41.05%,83.20%,83.20%,83.20%,83.19%,82.45%
2022-01-07 16:42:57.155364,7,5000,5277,10000,15000,81.20%,43.33%,81.20%,81.20%,81.20%,81.13%,82.27%
2022-01-07 16:43:13.058973,8,5000,5277,10000,15000,82.00%,43.15%,82.00%,82.00%,82.00%,81.99%,82.24%
